년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
21-Apr,서귀포시,남원읍,화장품 및 방향제 소매업,여성,84,2435860,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,남원읍,휴양콘도 운영업,남성,2131,249263225,5259552.532,512354.824,2970022.771,2021-07-26
21-Apr,서귀포시,남원읍,휴양콘도 운영업,법인,612,700481428,,,,2021-07-26
21-Apr,서귀포시,남원읍,휴양콘도 운영업,여성,1577,157985081,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,대륜동,건강보조식품 소매업,남성,16,8100000,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,건강보조식품 소매업,법인,4,2220000,,,,2021-07-26
21-Apr,서귀포시,대륜동,건강보조식품 소매업,여성,23,11805000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,과실 및 채소 소매업,남성,301,25989300,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,남원읍,한식 음식점업,여성,3163,125685000,4752881.281,346315.058,2592163.631,2021-07-26
21-Apr,서귀포시,대륜동,과실 및 채소 소매업,법인,76,20004200,,,,2021-07-26
21-Apr,서귀포시,대륜동,그외 기타 종합 소매업,남성,2,185000,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,그외 기타 종합 소매업,법인,18,24630000,,,,2021-07-26
21-Apr,서귀포시,대륜동,그외 기타 종합 소매업,여성,2,60000,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,기타 대형 종합 소매업,남성,8283,516376960,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,기타 대형 종합 소매업,법인,1826,186051770,,,,2021-07-26
21-Apr,서귀포시,대륜동,기타 대형 종합 소매업,여성,8318,507217180,5257304.976,692371.925,2827379.959,2021-07-26
21-Apr,서귀포시,대륜동,기타 외국식 음식점업,남성,328,8705500,4722673.487,510393.91,2814487.248,2021-07-26
21-Apr,서귀포시,대륜동,기타 외국식 음식점업,법인,164,5025700,,,,2021-07-26
